VERSI,SEKSYEN,MSIC 2025,MALAY DESCRIPTION FOR MSIC 2025,ENGLISH DESCRIPTION FOR MSIC 2025,SEKSYEN,MSIC 2008,MALAY DESCRIPTION FOR MSIC 2008,ENGLISH DESCRIPTION FOR MSIC 2008
2025,A,01465,Penternakan dan pembiakan unggas lain t.t.t.l.,Raising and breeding of other poultry n.e.c.,A,01465,Penternakan dan pembiakan unggas lain t.t.t.l.,Raising and breeding of other poultry n.e.c. raising and breeding of turkeys and guinea-fowls
2025,A,01466,Pengeluaran telur ayam,Production of chicken eggs,A,01466,Pengeluaran telur ayam,Production of chicken eggs
2025,A,01467,Pengeluaran telur itik,Production of duck eggs,A,01467,Pengeluaran telur itik,Production of duck eggs
2025,A,01468,Pengeluaran telur unggas lain t.t.t.l.,Production of other poultry eggs n.e.c.,A,01468,Pengeluaran telur unggas lain t.t.t.l.,Production of other poultry eggs n.e.c.
2025,A,01469,Operasi penetasan unggas,Operation of poultry hatcheries,A,01469,Operasi penetasan unggas,Operation of poultry hatcheries
2025,A,01491,"Penternakan, pembiakan dan pengeluaran haiwan separuh jinak","Raising, breeding and production of semi-domesticated",A,01491,"Penternakan, pembiakan dan pengeluaran haiwan separuh jinak","Raising, breeding and production of semi-domesticated emus, ostriches, insects, rabbits and other fur animals"
2025,A,01492,"Pengeluaran kulit berbulu, kulit burung atau reptilia dari operasi ladang ternakan","Production of fur skins, reptile or bird’s skin from ranching operation",A,01492,"Pengeluaran kulit berbulu, kulit burung atau reptilia dari operasi ladang ternakan","Production of fur skins, reptile or bird’s skin from ranching operation"
2025,A,01493,"Operasi ternakan cacing, moluska, siput","Operation of worm farms, land mollusc farms, snail farms",A,01493,"Operasi ternakan cacing, moluska, siput","Operation of worm farms, land mollusc farms, snail farms"
2025,A,01494,Penternakan ulat sutera dan pengeluaran hasil,Raising of silk worms and production of silk worm cocoons,A,01494,Penternakan ulat sutera dan pengeluaran hasil kepompong ulat sutera,Raising of silk worms and production of silk worm cocoons
2025,A,01495,Penternakan lebah dan pengeluaran hasil madu dan lilin lebah,Bee keeping and production of honey and beeswax,A,01495,Penternakan lebah dan pengeluaran hasil madu dan lilin lebah,Bee keeping and production of honey and beeswax
2025,A,01496,Penternakan dan pembiakan haiwan peliharaan,Raising and breeding of pet animals,A,01496,Penternakan dan pembiakan haiwan peliharaan,"Raising and breeding of pet animals farming of marine/freshwater ornamental fish, see 03211, 03221"
2025,A,01497,Penternakan dan pembiakan burung walit,Raising and breeding of swiflet,A,01497,Penternakan dan pembiakan burung walit,Raising and breeding of swiflet
2025,A,01499,Penternakan pelbagai/haiwan lain t.t.t.l.,Raising of diverse/other animals n.e.c.,A,01499,Penternakan pelbagai/haiwan lain t.t.t.l,Raising of diverse/other animals n.e.c. exotic and other live animals
2025,A,01500,Pertanian campuran,Mixed farming,A,01500,Pertanian campuran,Mixed farming
2025,A,01610,Aktiviti pertanian untuk pengeluaran tanaman,"Agricultural activities for crops production on a fee
or contract basis",A,01610,Aktiviti pertanian untuk pengeluaran tanaman berasaskan yuran atau kontrak,"Agricultural activities for crops production on a fee or contract basis (a) the preparation of fields, harvesting, pest control (including rabbits) in connection with agriculture <br> (b) operation of irrigation equipment for agricultural purposes <br> (c ) maintenance of land to keep it in goods condotion for agricultural use"
2025,A,01620,Aktiviti pertanian untuk pengeluaran ternakan berasaskan yuran atau kontrak,Agricultural activities for animal production on a fee or contract basis,A,01620,Aktiviti pertanian untuk pengeluaran ternakan berasaskan yuran atau kontrak,"Agricultural activities for animal production on a fee or contract basis (a) activities to promote propagation, growth and output of animal <br> (b) activities related to artifical insemination <br>(c ) sheep shearing <br>(d) farm animal boarding activities without health care <br>(e) herd testing services, droving services, agistment service, poultry caponizing."
2025,A,01631,Penyediaan tanaman untuk pasaran utama,Preparation of crops for primary markets,A,01631,Penyediaan tanaman untuk pasaran utama,"Preparation of crops for primary markets cleaning, trimming, grading, disinfecting, cotton ginning"
2025,A,01639,Aktiviti lain selepas tuaian tanaman t.t.t.l.,Other post-harvest crops activities n.e.c,A,01631,Penyediaan tanaman untuk pasaran utama,"Preparation of crops for primary markets cleaning, trimming, grading, disinfecting, cotton ginning"
2025,A,01632,Penyediaan daun tembakau,Preparation of tobacco leaves,A,01632,Penyediaan daun tembakau,Preparation of tobacco leaves preliminary processing tobacco leaves
2025,A,01633,Penyediaan biji koko,Preparation of cocoa beans,A,01633,Penyediaan biji koko,Preparation of cocoa beans
2025,A,01634,Penjemuran sayur-sayuran dan buah-buahan,Sun-drying of fruits and vegetables,A,01634,Menjemur sayur-sayuran dan buah-buahan,Sun-drying of fruits and vegetables
2025,A,01640,Pemprosesan benih untuk pembiakan,Seed processing for propagation,A,01640,Pemprosesan benih untuk pembiakan,Seed processing for propagation
2025,A,01701,Pemburuan dan penjeratan haiwan secara komersial,Hunting and trapping on a commercial basis,A,01701,Pemburuan dan penjeratan haiwan secara komersial,Hunting and trapping on a commercial basis
2025,A,01702,Penangkapan haiwan liar (hidup atau mati),Taking of wilds animals (dead or alive),A,01702,Penangkapan haiwan (hidup atau mati),"Taking of animals (dead or alive) taking of animal for food, fur, skin or for use in research, in zoos or pets."
2025,A,02101,"Penanaman, penanaman semula, pemindahan,","Planting, replanting, transplanting, thinning and conserving of forests and timber tracts",A,02101,"Penanaman, penanaman semula, pemindahan, pengurusan dan pemuliharaan hutan dan kawasan lapang","Planting, replanting, transplanting, thinning and conserving of forests and timber tracts (a) enrichment planting <br>(b) planting of bakau <br> (c ) planting of rattan<br> (d) open space planting <br>(e) planting of bamboo <br>(f) highway planting <br>(g) coastal planting <br>(h) planting of nibong/sago palm"
2025,A,02102,"Penanaman untuk tunas semula, kayu pulpa dan kayu api","Growing of coppice, pulpwood and fire wood",A,02102,"Penanaman untuk tunas semula, kayu pulpa dan kayu api","Growing of coppice, pulpwood and fire wood"
2025,A,02103,Operasi tapak semaian pokok hutan,Operation of forest tree nurseries,A,02103,Operasi tapak semaian pokok hutan,Operation of forest tree nurseries nurseries for forest plantation
2025,A,02104,Pengumpulan dan pemeliharaan hutan liar (spesis pokok hutan paya gambut),Collection and raising of wildings (peat swamp forest tree species),A,02104,Pengumpulan dan pemeliharaan hutan liar (spesis pokok hutan paya gambut),Collection and raising of wildings (peat swamp forest tree species)
2025,A,02105,Ladang hutan,Forest plantation,A,02105,Ladang hutan,Forest plantation
2025,A,02205,Pengumpulan kayu balak,Collecting of round wood,A,02201,Pengeluaran kayu balak untuk industri berasaskan kayu,Production of round wood for forest-based manufacturing industries
2025,A,02201,Pengeluaran kayu balak untuk industri berasaskan kayu,Production of round wood for forest-based manufacturing industries,A,02201,Pengeluaran kayu balak untuk industri berasaskan kayu,Production of round wood for forest-based manufacturing industries
2025,A,02205,Pengumpulan kayu balak,Collecting of round wood,A,02202,Pengeluaran kayu balak yang digunakan dalam bentuk belum proses,"Production of round wood used in an unprocessed form pit-props, fence posts and utility poles"
2025,A,02202,Pengeluaran kayu balak yang digunakan dalam bentuk belum proses,Production of round wood used in an unprocessed form,A,02202,Pengeluaran kayu balak yang digunakan dalam bentuk belum proses,"Production of round wood used in an unprocessed form pit-props, fence posts and utility poles"
2025,A,02205,Pengumpulan kayu balak,Collecting of round wood,A,02203,Pengeluaran arang kayu dalam hutan (menggunakan kaedah tradisional),"Production of charcoal in the forest (using traditional methods) collection of bark (inland species, mangrove species and gelam) and firewood"
2025,A,02203,Pengeluaran arang kayu dalam hutan (kaedah tradisional),Production of charcoal in the forest (using traditional methods),A,02203,Pengeluaran arang kayu dalam hutan (menggunakan kaedah tradisional),"Production of charcoal in the forest (using traditional methods) collection of bark (inland species, mangrove species and gelam) and firewood"
2025,A,02205,Pengumpulan kayu balak,Collecting of round wood,A,02204,Pembalakan kayu getah,Rubber wood logging
2025,A,02204,Pembalakan kayu getah,Rubber wood logging,A,02204,Pembalakan kayu getah,Rubber wood logging
2025,A,02301,"Pengumpulan rotan, buluh","Collection of rattan, bamboo",A,02301,"Pengumpulan rotan, buluh","Collection of rattan, bamboo"
2025,A,02302,Pemungutan sarang burung,Bird’s nest collection,A,02302,Pemungutan sarang burung,Bird’s nest collection
2025,A,02303,Pengumpulan pokok sagu liar,Wild sago palm collection,A,02303,Pengumpulan pokok sagu liar,Wild sago palm collection
2025,A,02309,Pengumpulan produk hutan bukan kayu t.t.t.l.,Gathering of non-wood forest products n.e.c.,A,02309,Pengumpulan produk hutan bukan kayu t.t.t.l,"Gathering of non-wood forest products n.e.c. (a) collection of wild tree saps (e.g. dammar) <br>(b) fibre of fruits(e.g berangan, keranji, kerdas, petai) <br>(c ) leaves(e.g bertam, nipah, kajang, kubin, leaflets) <br>(d) oils from jungle woods(e.g keruing and other) <br>(e) roots(e.g akar laka) <br>(f) bee's wax and honey"
2025,A,02401,Menjalankan sebahagian daripada aktiviti operasi perhutanan dan ladang hutan secara berasaskan bayaran atau kontrak untuk perkhidmatan perhutanan,Carrying out part of the forestry and forest plantation operation on a fee or contract basis for forestry service activities,A,02401,Menjalankan sebahagian operasi perhutanan dan ladang hutan berdasarkan bayaran atau secara kontrak untuk aktiviti perkhidmatan perhutanan,Carrying out part of the forestry and forest plantation operation on a fee or contract basis for forestry service activities (a) the forestry inventories <br>(b) forest management consulting services <br>(c ) timber evaluation <br>(d) forest fire fighting and protection <br>(e) forest pest control <br>(f) establishing compensatory plantation.
2025,A,02402,Menjalankan sebahagian daripada aktiviti operasi perhutanan secara berasaskan bayaran atau kontrak untuk perkhidmatan pembalakan,Carrying out part of the forestry operation on a fee or contract basis for logging service activities,A,02402,Menjalankan sebahagian operasi perhutanan berdasarkan bayaran atau secara kontrak untuk aktiviti perkhidmatan pembalakan,"Carrying out part of the forestry operation on a fee or contract basis for logging service activities (a) transport of logs within the forest and outside of forest <br>(b) property hammer mark <br>(c ) establishment of forest logging infrastructure <br> (d) forest development work (poison girdling and climber cutting (GLC)) <br>(e) clear felling and burning <br>(f) compensatory plantation establishment <br>(g) nursery and forest inventory work <br>(h) forest harvesting (boundary cutting) <br>(i) pre-felling resources survey <br>(j) road construction <br>(k)tree marking and felling operation <br>(l) log hauling within the forest, as par of logging operations. operation of forest tree nurseries, see 02103"
2025,A,03111,Perikanan komersil di laut dan perairan pantai,Fishing on a commercial basis in ocean and coastal waters,A,03111,Perikanan komersil di laut dan perairan pantai,Fishing on a commercial basis in ocean and coastal waters capturing of whales
2025,A,03116,Pemungutan ikan hiasan di laut,Taking of ornamental fish in the sea,A,03111,Perikanan komersil di laut dan perairan pantai,Fishing on a commercial basis in ocean and coastal waters capturing of whales
2025,A,03112,Pemungutan krustasia dan moluska laut,Collection of marine crustaceans and molluscs,A,03112,Pemungutan krustasia dan moluska laut,Collection of marine crustaceans and molluscs
2025,A,03113,"Pengambilan haiwan akuatik: penyu, sea squirts, tunikat, landak laut","Taking of aquatic animals: sea squirts, tunicates, sea urchins",A,03113,"Pengambilan haiwan akuatik : sea squirts, tunikat, landak laut","Taking of aquatic animals: sea squirts, tunicates, sea urchins"
2025,A,03114,"Aktiviti atas vessel yang melibatkan penangkapan,",Activities of vessels engaged both in fishing and in processing and preserving of fish,A,03114,"Aktiviti atas vessel yang melibatkan penangkapan, pemprosesan dan pengawetan ikan",Activities of vessels engaged both in fishing and in processing and preserving of fish
2025,A,03301,Aktiviti atas vessel yang melibatkan pemprosesan dan pegawetan,Activities on vessels involving processing and preserving,A,03114,"Aktiviti atas vessel yang melibatkan penangkapan, pemprosesan dan pengawetan ikan",Activities of vessels engaged both in fishing and in processing and preserving of fish
2025,A,03115,"Pengumpulan organisma perikanan dan hasil laut lain (tiram semulajadi, span, batu karang dan alga)","Gathering of other marine organisms and materials (natural pearls, sponges, coral and algae)",A,03115,"Pengumpulan organisma perikanan dan hasil laut lain (tiram semulajadi, span, batu karang dan alga)","Gathering of other marine organisms and materials (natural pearls, sponges, coral and algae)"
